frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
0,"x: 225.2345, y: 61.0618, conf: 0.9966","x: 222.4809, y: 46.1467, conf: 0.8041","x: 203.1275, y: 45.0250, conf: 0.9977","x: 201.6190, y: 59.2129, conf: 0.0070","x: 148.2878, y: 62.6603, conf: 0.9931","x: 199.3456, y: 170.9469, conf: 0.9746","x: 122.8442, y: 186.7569, conf: 0.9894","x: 232.5922, y: 316.5930, conf: 0.8296","x: 130.8093, y: 363.1260, conf: 0.9541","x: 278.9019, y: 424.6083, conf: 0.7427","x: 217.2899, y: 462.7989, conf: 0.9182","x: 228.7627, y: 456.4010, conf: 0.5256","x: 173.4972, y: 472.7297, conf: 0.6168","x: 264.7689, y: 468.9492, conf: 0.0103","x: 185.7843, y: 480.0000, conf: 0.0136","x: 266.1075, y: 480.0000, conf: 0.0009","x: 166.3478, y: 480.0000, conf: 0.0007"
0,"x: 225.2345, y: 61.0618, conf: 0.9966","x: 222.4809, y: 46.1467, conf: 0.8041","x: 203.1275, y: 45.0250, conf: 0.9977","x: 201.6190, y: 59.2129, conf: 0.0070","x: 148.2878, y: 62.6603, conf: 0.9931","x: 199.3456, y: 170.9469, conf: 0.9746","x: 122.8442, y: 186.7569, conf: 0.9894","x: 232.5922, y: 316.5930, conf: 0.8296","x: 130.8093, y: 363.1260, conf: 0.9541","x: 278.9019, y: 424.6083, conf: 0.7427","x: 217.2899, y: 462.7989, conf: 0.9182","x: 228.7627, y: 456.4010, conf: 0.5256","x: 173.4972, y: 472.7297, conf: 0.6168","x: 264.7689, y: 468.9492, conf: 0.0103","x: 185.7843, y: 480.0000, conf: 0.0136","x: 266.1075, y: 480.0000, conf: 0.0009","x: 166.3478, y: 480.0000, conf: 0.0007"
2,"x: 221.9808, y: 59.0914, conf: 0.9840","x: 219.7837, y: 45.8825, conf: 0.5612","x: 203.5760, y: 43.9136, conf: 0.9871","x: 202.5332, y: 60.3308, conf: 0.0086","x: 156.3949, y: 60.0273, conf: 0.9857","x: 218.1762, y: 166.3663, conf: 0.9720","x: 110.8756, y: 182.8812, conf: 0.9876","x: 239.5049, y: 305.3583, conf: 0.8649","x: 122.2877, y: 358.9084, conf: 0.9560","x: 281.7476, y: 411.8254, conf: 0.7147","x: 223.2842, y: 453.9961, conf: 0.8925","x: 245.9296, y: 461.0504, conf: 0.5846","x: 167.6369, y: 478.7550, conf: 0.6613","x: 287.5650, y: 473.8983, conf: 0.0053","x: 169.4325, y: 480.0000, conf: 0.0066","x: 277.3126, y: 480.0000, conf: 0.0003","x: 158.1718, y: 480.0000, conf: 0.0003"
2,"x: 221.9808, y: 59.0914, conf: 0.9840","x: 219.7837, y: 45.8825, conf: 0.5612","x: 203.5760, y: 43.9136, conf: 0.9871","x: 202.5332, y: 60.3308, conf: 0.0086","x: 156.3949, y: 60.0273, conf: 0.9857","x: 218.1762, y: 166.3663, conf: 0.9720","x: 110.8756, y: 182.8812, conf: 0.9876","x: 239.5049, y: 305.3583, conf: 0.8649","x: 122.2877, y: 358.9084, conf: 0.9560","x: 281.7476, y: 411.8254, conf: 0.7147","x: 223.2842, y: 453.9961, conf: 0.8925","x: 245.9296, y: 461.0504, conf: 0.5846","x: 167.6369, y: 478.7550, conf: 0.6613","x: 287.5650, y: 473.8983, conf: 0.0053","x: 169.4325, y: 480.0000, conf: 0.0066","x: 277.3126, y: 480.0000, conf: 0.0003","x: 158.1718, y: 480.0000, conf: 0.0003"
4,"x: 222.9200, y: 60.0226, conf: 0.9909","x: 221.2599, y: 46.4263, conf: 0.6566","x: 202.6387, y: 44.7094, conf: 0.9935","x: 204.4190, y: 61.0732, conf: 0.0073","x: 151.7887, y: 61.8826, conf: 0.9899","x: 218.5533, y: 167.2122, conf: 0.9721","x: 107.8515, y: 184.6630, conf: 0.9894","x: 237.1517, y: 307.4529, conf: 0.8523","x: 125.7531, y: 359.9235, conf: 0.9617","x: 280.6622, y: 416.3236, conf: 0.7147","x: 224.5601, y: 453.8376, conf: 0.9111","x: 248.7036, y: 457.5454, conf: 0.5742","x: 168.3376, y: 475.9907, conf: 0.6703","x: 294.1205, y: 468.4247, conf: 0.0060","x: 174.4143, y: 480.0000, conf: 0.0082","x: 279.7625, y: 480.0000, conf: 0.0004","x: 165.1774, y: 480.0000, conf: 0.0004"
4,"x: 222.9200, y: 60.0226, conf: 0.9909","x: 221.2599, y: 46.4263, conf: 0.6566","x: 202.6387, y: 44.7094, conf: 0.9935","x: 204.4190, y: 61.0732, conf: 0.0073","x: 151.7887, y: 61.8826, conf: 0.9899","x: 218.5533, y: 167.2122, conf: 0.9721","x: 107.8515, y: 184.6630, conf: 0.9894","x: 237.1517, y: 307.4529, conf: 0.8523","x: 125.7531, y: 359.9235, conf: 0.9617","x: 280.6622, y: 416.3236, conf: 0.7147","x: 224.5601, y: 453.8376, conf: 0.9111","x: 248.7036, y: 457.5454, conf: 0.5742","x: 168.3376, y: 475.9907, conf: 0.6703","x: 294.1205, y: 468.4247, conf: 0.0060","x: 174.4143, y: 480.0000, conf: 0.0082","x: 279.7625, y: 480.0000, conf: 0.0004","x: 165.1774, y: 480.0000, conf: 0.0004"
6,"x: 222.9359, y: 60.4389, conf: 0.9906","x: 221.2198, y: 46.7550, conf: 0.6479","x: 202.7587, y: 45.2157, conf: 0.9934","x: 204.2179, y: 60.9677, conf: 0.0072","x: 152.0567, y: 62.1826, conf: 0.9897","x: 217.5023, y: 166.3323, conf: 0.9705","x: 109.2083, y: 184.6378, conf: 0.9898","x: 236.4196, y: 305.8836, conf: 0.8475","x: 126.5748, y: 359.5881, conf: 0.9644","x: 279.8926, y: 414.8492, conf: 0.7126","x: 225.0484, y: 452.7800, conf: 0.9162","x: 248.4342, y: 457.0902, conf: 0.5875","x: 169.5757, y: 475.7232, conf: 0.6922","x: 292.0322, y: 471.4986, conf: 0.0061","x: 174.0110, y: 480.0000, conf: 0.0087","x: 278.8203, y: 480.0000, conf: 0.0004","x: 163.5145, y: 480.0000, conf: 0.0004"
6,"x: 222.9359, y: 60.4389, conf: 0.9906","x: 221.2198, y: 46.7550, conf: 0.6479","x: 202.7587, y: 45.2157, conf: 0.9934","x: 204.2179, y: 60.9677, conf: 0.0072","x: 152.0567, y: 62.1826, conf: 0.9897","x: 217.5023, y: 166.3323, conf: 0.9705","x: 109.2083, y: 184.6378, conf: 0.9898","x: 236.4196, y: 305.8836, conf: 0.8475","x: 126.5748, y: 359.5881, conf: 0.9644","x: 279.8926, y: 414.8492, conf: 0.7126","x: 225.0484, y: 452.7800, conf: 0.9162","x: 248.4342, y: 457.0902, conf: 0.5875","x: 169.5757, y: 475.7232, conf: 0.6922","x: 292.0322, y: 471.4986, conf: 0.0061","x: 174.0110, y: 480.0000, conf: 0.0087","x: 278.8203, y: 480.0000, conf: 0.0004","x: 163.5145, y: 480.0000, conf: 0.0004"
8,"x: 222.1075, y: 59.3083, conf: 0.9850","x: 219.5669, y: 45.4985, conf: 0.5729","x: 202.4320, y: 44.3962, conf: 0.9887","x: 201.7249, y: 59.7866, conf: 0.0088","x: 154.3428, y: 62.2943, conf: 0.9865","x: 214.8491, y: 167.0257, conf: 0.9640","x: 112.8987, y: 185.4347, conf: 0.9888","x: 234.4032, y: 307.2661, conf: 0.8268","x: 120.5537, y: 361.0056, conf: 0.9634","x: 277.8104, y: 413.6781, conf: 0.6878","x: 223.3554, y: 451.0979, conf: 0.9131","x: 243.0790, y: 461.6520, conf: 0.5365","x: 168.6490, y: 480.0000, conf: 0.6602","x: 288.0163, y: 471.5403, conf: 0.0051","x: 174.5010, y: 480.0000, conf: 0.0077","x: 275.9350, y: 480.0000, conf: 0.0003","x: 156.5740, y: 480.0000, conf: 0.0003"
8,"x: 222.1075, y: 59.3083, conf: 0.9850","x: 219.5669, y: 45.4985, conf: 0.5729","x: 202.4320, y: 44.3962, conf: 0.9887","x: 201.7249, y: 59.7866, conf: 0.0088","x: 154.3428, y: 62.2943, conf: 0.9865","x: 214.8491, y: 167.0257, conf: 0.9640","x: 112.8987, y: 185.4347, conf: 0.9888","x: 234.4032, y: 307.2661, conf: 0.8268","x: 120.5537, y: 361.0056, conf: 0.9634","x: 277.8104, y: 413.6781, conf: 0.6878","x: 223.3554, y: 451.0979, conf: 0.9131","x: 243.0790, y: 461.6520, conf: 0.5365","x: 168.6490, y: 480.0000, conf: 0.6602","x: 288.0163, y: 471.5403, conf: 0.0051","x: 174.5010, y: 480.0000, conf: 0.0077","x: 275.9350, y: 480.0000, conf: 0.0003","x: 156.5740, y: 480.0000, conf: 0.0003"
