frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
0,"x: 287.3987, y: 155.4348, conf: 0.9973","x: 297.7086, y: 143.3940, conf: 0.9766","x: 275.3727, y: 142.8575, conf: 0.9954","x: 308.1683, y: 148.5377, conf: 0.5545","x: 253.0501, y: 147.2044, conf: 0.9541","x: 326.4409, y: 221.1549, conf: 0.9905","x: 224.1423, y: 217.2706, conf: 0.9976","x: 343.9680, y: 309.3784, conf: 0.9015","x: 207.8979, y: 302.6713, conf: 0.9807","x: 339.3804, y: 368.6290, conf: 0.8716","x: 189.4115, y: 384.6129, conf: 0.9535","x: 293.4372, y: 385.4485, conf: 0.9627","x: 228.2763, y: 382.7223, conf: 0.9807","x: 280.5468, y: 480.0000, conf: 0.2697","x: 222.9679, y: 480.0000, conf: 0.3896","x: 257.3131, y: 480.0000, conf: 0.0177","x: 234.6833, y: 480.0000, conf: 0.0231"
0,"x: 287.3987, y: 155.4348, conf: 0.9973","x: 297.7086, y: 143.3940, conf: 0.9766","x: 275.3727, y: 142.8575, conf: 0.9954","x: 308.1683, y: 148.5377, conf: 0.5545","x: 253.0501, y: 147.2044, conf: 0.9541","x: 326.4409, y: 221.1549, conf: 0.9905","x: 224.1423, y: 217.2706, conf: 0.9976","x: 343.9680, y: 309.3784, conf: 0.9015","x: 207.8979, y: 302.6713, conf: 0.9807","x: 339.3804, y: 368.6290, conf: 0.8716","x: 189.4115, y: 384.6129, conf: 0.9535","x: 293.4372, y: 385.4485, conf: 0.9627","x: 228.2763, y: 382.7223, conf: 0.9807","x: 280.5468, y: 480.0000, conf: 0.2697","x: 222.9679, y: 480.0000, conf: 0.3896","x: 257.3131, y: 480.0000, conf: 0.0177","x: 234.6833, y: 480.0000, conf: 0.0231"
2,"x: 273.2232, y: 153.6108, conf: 0.9974","x: 283.5749, y: 142.3065, conf: 0.9815","x: 261.2400, y: 141.9768, conf: 0.9942","x: 294.6097, y: 149.2921, conf: 0.6402","x: 240.0243, y: 148.5028, conf: 0.9357","x: 314.2583, y: 220.1354, conf: 0.9928","x: 212.0399, y: 216.7616, conf: 0.9972","x: 328.7529, y: 314.5222, conf: 0.9377","x: 193.5251, y: 304.6046, conf: 0.9785","x: 334.3542, y: 396.1589, conf: 0.8828","x: 173.8949, y: 377.9022, conf: 0.9455","x: 285.7784, y: 391.9859, conf: 0.9625","x: 219.3578, y: 389.8260, conf: 0.9760","x: 278.4531, y: 480.0000, conf: 0.1829","x: 209.5301, y: 480.0000, conf: 0.2407","x: 257.5280, y: 480.0000, conf: 0.0096","x: 215.3608, y: 480.0000, conf: 0.0111"
2,"x: 273.2232, y: 153.6108, conf: 0.9974","x: 283.5749, y: 142.3065, conf: 0.9815","x: 261.2400, y: 141.9768, conf: 0.9942","x: 294.6097, y: 149.2921, conf: 0.6402","x: 240.0243, y: 148.5028, conf: 0.9357","x: 314.2583, y: 220.1354, conf: 0.9928","x: 212.0399, y: 216.7616, conf: 0.9972","x: 328.7529, y: 314.5222, conf: 0.9377","x: 193.5251, y: 304.6046, conf: 0.9785","x: 334.3542, y: 396.1589, conf: 0.8828","x: 173.8949, y: 377.9022, conf: 0.9455","x: 285.7784, y: 391.9859, conf: 0.9625","x: 219.3578, y: 389.8260, conf: 0.9760","x: 278.4531, y: 480.0000, conf: 0.1829","x: 209.5301, y: 480.0000, conf: 0.2407","x: 257.5280, y: 480.0000, conf: 0.0096","x: 215.3608, y: 480.0000, conf: 0.0111"
4,"x: 273.1982, y: 153.6444, conf: 0.9974","x: 283.5564, y: 142.3177, conf: 0.9816","x: 261.2074, y: 142.0050, conf: 0.9942","x: 294.6440, y: 149.2607, conf: 0.6433","x: 240.0313, y: 148.5172, conf: 0.9351","x: 314.3224, y: 220.1655, conf: 0.9928","x: 212.1434, y: 216.7017, conf: 0.9972","x: 328.8035, y: 314.6801, conf: 0.9376","x: 193.5668, y: 304.5123, conf: 0.9786","x: 334.4503, y: 396.5345, conf: 0.8824","x: 173.7970, y: 378.0656, conf: 0.9454","x: 285.5361, y: 391.9090, conf: 0.9622","x: 219.0915, y: 389.6500, conf: 0.9758","x: 277.9298, y: 480.0000, conf: 0.1826","x: 208.5443, y: 480.0000, conf: 0.2407","x: 257.0121, y: 480.0000, conf: 0.0096","x: 214.0764, y: 480.0000, conf: 0.0112"
4,"x: 273.1982, y: 153.6444, conf: 0.9974","x: 283.5564, y: 142.3177, conf: 0.9816","x: 261.2074, y: 142.0050, conf: 0.9942","x: 294.6440, y: 149.2607, conf: 0.6433","x: 240.0313, y: 148.5172, conf: 0.9351","x: 314.3224, y: 220.1655, conf: 0.9928","x: 212.1434, y: 216.7017, conf: 0.9972","x: 328.8035, y: 314.6801, conf: 0.9376","x: 193.5668, y: 304.5123, conf: 0.9786","x: 334.4503, y: 396.5345, conf: 0.8824","x: 173.7970, y: 378.0656, conf: 0.9454","x: 285.5361, y: 391.9090, conf: 0.9622","x: 219.0915, y: 389.6500, conf: 0.9758","x: 277.9298, y: 480.0000, conf: 0.1826","x: 208.5443, y: 480.0000, conf: 0.2407","x: 257.0121, y: 480.0000, conf: 0.0096","x: 214.0764, y: 480.0000, conf: 0.0112"
6,"x: 269.4233, y: 154.7556, conf: 0.9973","x: 279.8963, y: 143.4337, conf: 0.9803","x: 257.6170, y: 142.6843, conf: 0.9941","x: 290.6945, y: 150.0814, conf: 0.6059","x: 235.5264, y: 148.1585, conf: 0.9379","x: 308.8144, y: 221.1207, conf: 0.9939","x: 207.0014, y: 217.3213, conf: 0.9970","x: 322.2429, y: 316.3546, conf: 0.9465","x: 189.4524, y: 306.7721, conf: 0.9765","x: 326.2828, y: 405.3510, conf: 0.8927","x: 171.7716, y: 384.1712, conf: 0.9423","x: 281.0672, y: 389.1620, conf: 0.9688","x: 214.7030, y: 387.1316, conf: 0.9779","x: 275.6253, y: 480.0000, conf: 0.2351","x: 206.5161, y: 480.0000, conf: 0.2821","x: 254.9448, y: 480.0000, conf: 0.0134","x: 212.5951, y: 480.0000, conf: 0.0143"
6,"x: 269.4233, y: 154.7556, conf: 0.9973","x: 279.8963, y: 143.4337, conf: 0.9803","x: 257.6170, y: 142.6843, conf: 0.9941","x: 290.6945, y: 150.0814, conf: 0.6059","x: 235.5264, y: 148.1585, conf: 0.9379","x: 308.8144, y: 221.1207, conf: 0.9939","x: 207.0014, y: 217.3213, conf: 0.9970","x: 322.2429, y: 316.3546, conf: 0.9465","x: 189.4524, y: 306.7721, conf: 0.9765","x: 326.2828, y: 405.3510, conf: 0.8927","x: 171.7716, y: 384.1712, conf: 0.9423","x: 281.0672, y: 389.1620, conf: 0.9688","x: 214.7030, y: 387.1316, conf: 0.9779","x: 275.6253, y: 480.0000, conf: 0.2351","x: 206.5161, y: 480.0000, conf: 0.2821","x: 254.9448, y: 480.0000, conf: 0.0134","x: 212.5951, y: 480.0000, conf: 0.0143"
8,"x: 269.3171, y: 154.5135, conf: 0.9973","x: 279.8774, y: 143.2576, conf: 0.9807","x: 257.5208, y: 142.4650, conf: 0.9940","x: 290.8109, y: 150.0992, conf: 0.6196","x: 235.5915, y: 148.1315, conf: 0.9355","x: 308.7894, y: 221.1308, conf: 0.9939","x: 207.1204, y: 217.3390, conf: 0.9970","x: 322.1051, y: 316.1495, conf: 0.9474","x: 189.4380, y: 306.7147, conf: 0.9763","x: 326.1459, y: 404.9038, conf: 0.8943","x: 171.5700, y: 384.3981, conf: 0.9418","x: 280.6284, y: 389.1840, conf: 0.9693","x: 214.3631, y: 387.1324, conf: 0.9781","x: 275.2302, y: 480.0000, conf: 0.2382","x: 206.2407, y: 480.0000, conf: 0.2840","x: 254.8677, y: 480.0000, conf: 0.0136","x: 212.4689, y: 480.0000, conf: 0.0145"
8,"x: 269.3171, y: 154.5135, conf: 0.9973","x: 279.8774, y: 143.2576, conf: 0.9807","x: 257.5208, y: 142.4650, conf: 0.9940","x: 290.8109, y: 150.0992, conf: 0.6196","x: 235.5915, y: 148.1315, conf: 0.9355","x: 308.7894, y: 221.1308, conf: 0.9939","x: 207.1204, y: 217.3390, conf: 0.9970","x: 322.1051, y: 316.1495, conf: 0.9474","x: 189.4380, y: 306.7147, conf: 0.9763","x: 326.1459, y: 404.9038, conf: 0.8943","x: 171.5700, y: 384.3981, conf: 0.9418","x: 280.6284, y: 389.1840, conf: 0.9693","x: 214.3631, y: 387.1324, conf: 0.9781","x: 275.2302, y: 480.0000, conf: 0.2382","x: 206.2407, y: 480.0000, conf: 0.2840","x: 254.8677, y: 480.0000, conf: 0.0136","x: 212.4689, y: 480.0000, conf: 0.0145"
