frame_number,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16
0,"x: 401.7202, y: 227.2885, conf: 0.9902","x: 410.2253, y: 219.3095, conf: 0.9825","x: 395.9721, y: 219.7515, conf: 0.9501","x: 426.9851, y: 223.1815, conf: 0.9252","x: 393.6812, y: 224.3928, conf: 0.5379","x: 445.6562, y: 269.4189, conf: 0.9917","x: 388.3611, y: 273.1343, conf: 0.9908","x: 461.4160, y: 332.6651, conf: 0.9606","x: 385.0827, y: 334.4476, conf: 0.9413","x: 462.1124, y: 396.9329, conf: 0.9345","x: 372.7721, y: 386.8563, conf: 0.9007","x: 434.2641, y: 386.2762, conf: 0.9736","x: 396.9596, y: 386.1432, conf: 0.9717","x: 426.2801, y: 460.0874, conf: 0.6351","x: 389.0950, y: 461.2020, conf: 0.6118","x: 426.9281, y: 480.0000, conf: 0.1372","x: 403.8917, y: 480.0000, conf: 0.1358"
1,"x: 372.9424, y: 227.0343, conf: 0.9898","x: 380.8298, y: 219.2742, conf: 0.9747","x: 366.6655, y: 220.2603, conf: 0.9662","x: 396.4062, y: 223.2328, conf: 0.8655","x: 363.0718, y: 225.2380, conf: 0.6871","x: 413.9784, y: 269.9283, conf: 0.9824","x: 358.0984, y: 274.0651, conf: 0.9909","x: 433.6751, y: 329.5420, conf: 0.9130","x: 353.9484, y: 332.8984, conf: 0.9527","x: 432.9418, y: 393.1650, conf: 0.9008","x: 342.6301, y: 389.8091, conf: 0.9286","x: 403.1556, y: 385.5706, conf: 0.9257","x: 366.9881, y: 386.1384, conf: 0.9464","x: 402.7929, y: 464.1184, conf: 0.4438","x: 369.1828, y: 465.6339, conf: 0.5294","x: 402.4869, y: 480.0000, conf: 0.0704","x: 379.1841, y: 480.0000, conf: 0.0903"
2,"x: 370.8525, y: 228.8345, conf: 0.9912","x: 378.9464, y: 220.5150, conf: 0.9804","x: 364.1731, y: 221.5012, conf: 0.9635","x: 394.1491, y: 224.2853, conf: 0.8967","x: 360.0702, y: 226.7509, conf: 0.6364","x: 411.8617, y: 270.3235, conf: 0.9895","x: 356.3437, y: 274.8603, conf: 0.9919","x: 429.3846, y: 331.5320, conf: 0.9477","x: 354.2654, y: 334.5919, conf: 0.9525","x: 430.9160, y: 392.2635, conf: 0.9219","x: 340.4672, y: 388.4451, conf: 0.9168","x: 401.7509, y: 387.6507, conf: 0.9652","x: 365.6019, y: 388.2814, conf: 0.9691","x: 398.8389, y: 464.5560, conf: 0.5339","x: 363.2305, y: 466.3414, conf: 0.5580","x: 399.6884, y: 480.0000, conf: 0.0920","x: 376.0430, y: 480.0000, conf: 0.1013"
3,"x: 370.8325, y: 228.8723, conf: 0.9910","x: 378.9254, y: 220.5516, conf: 0.9804","x: 364.1520, y: 221.5378, conf: 0.9624","x: 394.1361, y: 224.3266, conf: 0.8980","x: 360.0364, y: 226.8051, conf: 0.6289","x: 411.8036, y: 270.4728, conf: 0.9896","x: 356.4396, y: 274.9537, conf: 0.9917","x: 429.4954, y: 331.5782, conf: 0.9489","x: 354.2956, y: 334.4476, conf: 0.9510","x: 430.8748, y: 392.4250, conf: 0.9234","x: 340.6133, y: 387.8858, conf: 0.9153","x: 401.3570, y: 387.5805, conf: 0.9660","x: 365.3769, y: 388.1158, conf: 0.9691","x: 397.5769, y: 464.1930, conf: 0.5457","x: 362.5673, y: 465.8914, conf: 0.5641","x: 398.2185, y: 480.0000, conf: 0.0965","x: 375.2780, y: 480.0000, conf: 0.1048"
4,"x: 368.5878, y: 229.3479, conf: 0.9910","x: 376.3501, y: 220.8935, conf: 0.9805","x: 361.8671, y: 222.2178, conf: 0.9621","x: 391.5970, y: 224.3164, conf: 0.8970","x: 357.8080, y: 227.6257, conf: 0.6220","x: 409.9310, y: 270.7584, conf: 0.9892","x: 354.2659, y: 275.8265, conf: 0.9910","x: 426.1880, y: 332.4167, conf: 0.9480","x: 352.7115, y: 335.7709, conf: 0.9472","x: 424.6156, y: 390.7105, conf: 0.9208","x: 337.9994, y: 390.0411, conf: 0.9082","x: 399.7523, y: 389.1822, conf: 0.9631","x: 362.7174, y: 389.9109, conf: 0.9658","x: 397.1343, y: 467.8557, conf: 0.5021","x: 356.6783, y: 469.8488, conf: 0.5134","x: 400.0045, y: 480.0000, conf: 0.0801","x: 368.4608, y: 480.0000, conf: 0.0853"
5,"x: 366.9723, y: 230.4639, conf: 0.9914","x: 374.7214, y: 221.9517, conf: 0.9803","x: 360.0300, y: 223.2766, conf: 0.9649","x: 389.5965, y: 225.4886, conf: 0.8890","x: 355.2628, y: 228.7871, conf: 0.6484","x: 407.6660, y: 271.9652, conf: 0.9894","x: 351.5899, y: 277.2742, conf: 0.9916","x: 423.9962, y: 333.5638, conf: 0.9473","x: 349.4211, y: 337.3066, conf: 0.9507","x: 422.0639, y: 393.2141, conf: 0.9203","x: 335.4160, y: 391.3410, conf: 0.9139","x: 399.0727, y: 390.0741, conf: 0.9639","x: 362.0247, y: 391.1662, conf: 0.9676","x: 396.8851, y: 468.9175, conf: 0.5067","x: 358.0437, y: 471.3754, conf: 0.5257","x: 399.2465, y: 480.0000, conf: 0.0809","x: 370.6149, y: 480.0000, conf: 0.0875"
6,"x: 366.9868, y: 230.4579, conf: 0.9914","x: 374.7715, y: 221.9322, conf: 0.9804","x: 360.0220, y: 223.2618, conf: 0.9653","x: 389.6878, y: 225.4678, conf: 0.8894","x: 355.2233, y: 228.7899, conf: 0.6494","x: 407.6335, y: 271.8694, conf: 0.9894","x: 351.6004, y: 277.3177, conf: 0.9917","x: 424.0272, y: 333.3536, conf: 0.9473","x: 349.4429, y: 337.4467, conf: 0.9514","x: 422.1095, y: 392.9637, conf: 0.9205","x: 335.2243, y: 391.7234, conf: 0.9148","x: 399.0034, y: 389.7411, conf: 0.9642","x: 361.9225, y: 390.8849, conf: 0.9681","x: 396.9894, y: 468.7193, conf: 0.5101","x: 357.7243, y: 471.2119, conf: 0.5304","x: 399.8364, y: 480.0000, conf: 0.0820","x: 370.3523, y: 480.0000, conf: 0.0890"
7,"x: 365.4149, y: 229.8715, conf: 0.9908","x: 373.0054, y: 221.7529, conf: 0.9738","x: 358.5784, y: 222.9191, conf: 0.9703","x: 387.8682, y: 224.9049, conf: 0.8399","x: 353.9757, y: 227.2030, conf: 0.7296","x: 405.1298, y: 271.8001, conf: 0.9818","x: 349.0334, y: 275.6104, conf: 0.9928","x: 423.7060, y: 333.9150, conf: 0.9090","x: 346.7551, y: 338.0811, conf: 0.9627","x: 422.6638, y: 394.1019, conf: 0.8968","x: 334.4669, y: 393.8036, conf: 0.9386","x: 394.6969, y: 390.1220, conf: 0.9228","x: 358.1313, y: 390.6525, conf: 0.9497","x: 395.3090, y: 468.9041, conf: 0.3896","x: 360.2856, y: 470.6707, conf: 0.5006","x: 394.4216, y: 480.0000, conf: 0.0531","x: 369.5997, y: 480.0000, conf: 0.0730"
8,"x: 365.4263, y: 229.8727, conf: 0.9907","x: 373.0001, y: 221.7509, conf: 0.9738","x: 358.5943, y: 222.9144, conf: 0.9702","x: 387.8573, y: 224.8804, conf: 0.8396","x: 353.9702, y: 227.1687, conf: 0.7292","x: 405.2321, y: 271.8152, conf: 0.9818","x: 348.9364, y: 275.5490, conf: 0.9927","x: 423.6838, y: 334.0929, conf: 0.9093","x: 346.7267, y: 338.0162, conf: 0.9624","x: 422.5741, y: 394.3716, conf: 0.8966","x: 334.5406, y: 393.8168, conf: 0.9382","x: 394.8586, y: 390.1115, conf: 0.9225","x: 358.0674, y: 390.6217, conf: 0.9493","x: 395.7780, y: 468.6108, conf: 0.3880","x: 359.9453, y: 470.3692, conf: 0.4979","x: 394.9169, y: 480.0000, conf: 0.0528","x: 369.0417, y: 480.0000, conf: 0.0725"
9,"x: 364.2914, y: 230.4494, conf: 0.9911","x: 371.4243, y: 222.1329, conf: 0.9723","x: 356.9934, y: 223.7504, conf: 0.9733","x: 385.2741, y: 224.9964, conf: 0.8189","x: 351.3073, y: 228.3708, conf: 0.7611","x: 402.7964, y: 271.9510, conf: 0.9821","x: 346.7036, y: 276.4774, conf: 0.9932","x: 422.5099, y: 333.3456, conf: 0.9069","x: 344.3760, y: 337.9596, conf: 0.9649","x: 422.2035, y: 394.5850, conf: 0.8956","x: 333.5331, y: 394.4698, conf: 0.9422","x: 393.1052, y: 390.4470, conf: 0.9253","x: 357.0369, y: 391.4157, conf: 0.9528","x: 392.2676, y: 469.9032, conf: 0.3991","x: 360.4968, y: 472.3899, conf: 0.5180","x: 390.1991, y: 480.0000, conf: 0.0546","x: 370.0469, y: 480.0000, conf: 0.0758"
